,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,Albania,ALB,2021-01-10,0.0,0.0,,,0.0,0.0,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
1,Albania,ALB,2021-01-11,,,,64.0,,,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
2,Albania,ALB,2021-01-12,128.0,128.0,,64.0,0.0,0.0,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
3,Albania,ALB,2021-01-13,188.0,188.0,,63.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
4,Albania,ALB,2021-01-14,266.0,266.0,,66.0,0.01,0.01,,23.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
5,Albania,ALB,2021-01-15,308.0,308.0,,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
6,Albania,ALB,2021-01-16,369.0,369.0,,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
7,Albania,ALB,2021-01-17,405.0,405.0,,58.0,0.01,0.01,,20.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
8,Albania,ALB,2021-01-18,447.0,447.0,,55.0,0.02,0.02,,19.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
9,Albania,ALB,2021-01-19,483.0,483.0,,51.0,0.02,0.02,,18.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
10,Albania,ALB,2021-01-20,519.0,519.0,,47.0,0.02,0.02,,16.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
11,Albania,ALB,2021-01-21,549.0,549.0,,40.0,0.02,0.02,,14.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
12,Albania,ALB,2021-01-22,,,,34.0,,,,12.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
13,Albania,ALB,2021-01-23,,,,26.0,,,,9.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
14,Albania,ALB,2021-01-24,,,,21.0,,,,7.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
15,Albania,ALB,2021-01-25,,,,15.0,,,,5.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
16,Albania,ALB,2021-01-26,,,,9.0,,,,3.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
17,Albania,ALB,2021-01-27,,,,4.0,,,,1.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
18,Albania,ALB,2021-01-28,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
19,Albania,ALB,2021-01-29,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
20,Albania,ALB,2021-01-30,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
21,Albania,ALB,2021-01-31,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
22,Albania,ALB,2021-02-01,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
23,Albania,ALB,2021-02-02,550.0,549.0,1.0,,0.02,0.02,0.0,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
24,Albania,ALB,2021-02-03,,,,12.0,,,,4.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
25,Albania,ALB,2021-02-04,,,,24.0,,,,8.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
26,Albania,ALB,2021-02-05,,,,35.0,,,,12.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
27,Albania,ALB,2021-02-06,,,,47.0,,,,16.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
28,Albania,ALB,2021-02-07,,,,59.0,,,,21.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
29,Albania,ALB,2021-02-08,,,,71.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
30,Albania,ALB,2021-02-09,1127.0,689.0,438.0,82.0,0.04,0.02,0.02,28.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
31,Albania,ALB,2021-02-10,,,,81.0,,,,28.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
32,Albania,ALB,2021-02-11,,,,79.0,,,,27.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
33,Albania,ALB,2021-02-12,,,,78.0,,,,27.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
34,Albania,ALB,2021-02-13,,,,76.0,,,,26.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
35,Albania,ALB,2021-02-14,,,,75.0,,,,26.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
36,Albania,ALB,2021-02-15,,,,73.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
37,Albania,ALB,2021-02-16,,,,72.0,,,,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
38,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,72.0,0.06,0.04,0.02,25.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
39,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,254.0,0.11,0.08,0.02,88.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
40,Albania,ALB,2021-02-19,4177.0,,,405.0,0.15,,,141.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-1128-te-vaksinuar-3848-testime-930-te-sheruar-1071-raste-te-reja-dhe-19-humbje-jete-ne-24-oret-e-fundit/
41,Algeria,DZA,2021-01-29,0.0,,,,0.0,,,,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
